Company_Brand,Funding_Year,HeadQuarter,Sector,Amount($),Stage,Funding,Category
TheCollegeFever,2018,Bangalore,"brand marketing, event promotion, marketing, sponsorship, ticketing",3571.43,Seed,Seed Stage,Marketing
Happy Cow Dairy,2018,Mumbai,"agriculture, farming",571428.57,Seed,Seed Stage,Farming
MyLoanCare,2018,Gurgaon,"credit, financial services, lending, marketplace",928571.43,Series A,Series_Stage,Finance
PayMe India,2018,Noida,"financial services, fintech",28571.43,Angel,Later Stage,Technology
Eunimart,2018,Hyderabad,"e-commerce platforms, retail, saas",0.0,Seed,Seed Stage,Saas
Hasura,2018,Bengaluru,"cloud infrastructure, paas, saas",22857.14,Seed,Seed Stage,Saas
Tripshelf,2018,Kalkaji,"internet, leisure, marketplace",228571.43,Seed,Seed Stage,Technology
Hyperdata.IO,2018,Hyderabad,market research,714285.71,Angel,Later Stage,Research
Freightwalla,2018,Mumbai,"information services, information technology",0.0,Seed,Seed Stage,Technology
Microchip Payments,2018,Bangalore,mobile payments,0.0,Seed,Seed Stage,Finance
BizCrum Infotech Pvt. Ltd.,2018,Delhi,"b2b, shoes",0.0,Seed,Seed Stage,B2b
Emojifi,2018,Bengaluru,internet,0.0,Seed,Seed Stage,Technology
Flock,2018,India,"apps, collaboration, developer platform, enterprise software, messaging, productivity tools, video chat",0.0,Seed,Seed Stage,Technology
Freshboxx,2018,Hubli,food delivery,0.0,Seed,Seed Stage,Restaurant
Wide Mobility Mechatronics,2018,Bangalore,industrial automation,0.0,Seed,Seed Stage,Transportation
Pitstop,2018,Bengaluru,"automotive, search engine, service industry",1428571.43,Seed,Seed Stage,Transportation
Mihuru,2018,Mumbai,"finance, internet, travel",2142.86,Seed,Seed Stage,Technology
Fyle,2018,Bengaluru,"accounting, business information systems, business travel, finance, saas",15714.29,Seed,Seed Stage,Finance
AppWharf,2018,New Delhi,"artificial intelligence, product search, saas, service industry, software",0.0,Seed,Seed Stage,Saas
Antariksh Waste Ventures Pvt ltd,2018,Chennai,"internet of things, waste management",7142.86,Seed,Seed Stage,Technology
Cogoport,2018,Mumbai,"air transportation, freight service, logistics, marine transportation",85714.29,Series A,Series_Stage,Transportation
PaisaDukan,2018,Mumbai,financial services,9285.71,Seed,Seed Stage,Finance
Sleepy Owl Coffee,2018,New Delhi,food and beverage,500000.0,Seed,Seed Stage,Restaurant
BlueJack,2018,Delhi,autonomous vehicles,914285.71,Seed,Seed Stage,Transportation
PregBuddy,2018,Bengaluru,"enterprise software, health care, hospital, parenting, personal health, saas",0.0,Seed,Seed Stage,Transportation
AgNext Technologies,2018,Mohali,"agriculture, analytics, big data, farming",0.0,Series A,Series_Stage,Technology
Pando,2018,Chennai,"logistics, supply chain management",28571.43,Seed,Seed Stage,Transportation
Mintifi,2018,Mumbai,"financial services, lending",28571.43,Seed,Seed Stage,Finance
Carcrew,2018,Mumbai,"automotive, marketplace, online portals",28571.43,Seed,Seed Stage,Transportation
NicheAI,2018,Hyderabad,artificial intelligence,0.0,Angel,Later Stage,Ai
Chariot Tech,2018,New Delhi,"internet of things, telecommunications",285714.29,Seed,Seed Stage,Technology
Ideal Insurance Brokers/ 121Policy.com,2018,Kolkata,insurance,14285.71,Seed,Seed Stage,Others
Loanzen,2018,Bangalore,financial services,0.0,Seed,Seed Stage,Finance
Mojro Technologies,2018,Bengaluru,"information technology, logistics, supply chain management",9285.71,Seed,Seed Stage,Technology
Elemential,2018,Mumbai,"blockchain, developer tools, enterprise software",14285.71,Seed,Seed Stage,Saas
Loadshare,2018,Bengaluru,"industrial automation, logistics, supply chain management",71428.57,Series A,Series_Stage,Transportation
Yumlane,2018,Mumbai,"food and beverage, food delivery, snack food",57142.86,Series A,Series_Stage,Restaurant
Kriger Campus,2018,New Delhi,education,428571.43,Seed,Seed Stage,Education
Pipa+Bella,2018,Mumbai,"e-commerce, fashion, jewelry, retail",14285.71,Series A,Series_Stage,Beauty
Kaleidofin,2018,Chennai,financial services,40000.0,Seed,Seed Stage,Finance
Chakr Innovation,2018,New Delhi,renewable energy,0.0,Seed,Seed Stage,Others
IndigoLearn,2018,Hyderabad,"e-learning, education",2142.86,Seed,Seed Stage,Education
UClean,2018,India,"clean energy, cleantech, laundry and dry-cleaning",571428.57,Seed,Seed Stage,Technology
Coutloot,2018,Mumbai,"e-commerce, fashion, mobile",14285.71,Seed,Seed Stage,Beauty
Letstrack,2018,New Delhi,"apps, messaging, navigation, public safety",24285.71,Seed,Seed Stage,Technology
Pooltoo,2018,New Delhi,transportation,0.0,Seed,Seed Stage,Transportation
Finzy,2018,Bangalore,"financial services, lending",18571.43,Seed,Seed Stage,Finance
Fitternity,2018,Mumbai,"fitness, health care, wellness",28571.43,Seed,Seed Stage,Transportation
Keito,2018,Pune,"artificial intelligence, machine learning, saas, virtual assistant",0.0,Seed,Seed Stage,Saas
Tolet for Students,2018,Jodhpur,hospitality,71428.57,Seed,Seed Stage,Others
Chai Kings,2018,Chennai,"food and beverage, tea",285714.29,Seed,Seed Stage,Restaurant
Dainik Jagran,2018,Kanpur,"media and entertainment, news, outdoors",571428.57,Seed,Seed Stage,Social
Playtoome,2018,Bengaluru,"broadcasting, media and entertainment, music, music streaming, video, video streaming",285714.29,Seed,Seed Stage,Technology
ONGO Framework,2018,Hyderabad,"b2b, information services, information technology",14285.71,Angel,Later Stage,Technology
Notesgen,2018,New Delhi,"edtech, education, enterprise software, peer to peer",178571.43,Seed,Seed Stage,Technology
Arogya MedTech,2018,Kolkata,"health care, medical",214285.71,Seed,Seed Stage,Transportation
Propshop24,2018,Mumbai,e-commerce,7142.86,Seed,Seed Stage,Others
myUpchar,2018,New Delhi,"health care, hospital, wellness",71428.57,Series A,Series_Stage,Transportation
MissMalini Entertainment,2018,Mumbai,,1485714.29,Seed,Seed Stage,Others
Rooter,2018,India,sports,642857.14,Seed,Seed Stage,Sports
ZestMoney,2018,Bangalore,"big data, consumer lending, fintech",191428.57,Series A,Series_Stage,Technology
alphaics Corporation,2018,Bengaluru,"cloud computing, computer, semiconductor",0.0,Seed,Seed Stage,Others
MyDentistChoice,2018,Hyderabad,"health care, medical, pharmaceutical",7142.86,Seed,Seed Stage,Transportation
Sattviko,2018,New Delhi,"food processing, retail",0.0,Angel,Later Stage,Restaurant
Sensibull,2018,Bangalore,trading platform,357142.86,Seed,Seed Stage,Others
Bombay Shaving Company,2018,New Delhi,"consumer goods, lifestyle, men's",0.0,Series A,Series_Stage,Others
MedCords,2018,Pune,wellness,377142.86,Seed,Seed Stage,Social
University Living,2018,New Delhi,education,0.0,Seed,Seed Stage,Education
&ME,2018,Bangalore,"food and beverage, food processing, nutrition",0.0,Seed,Seed Stage,Restaurant
Enakshi,2018,Ahmedabad,fashion,114285.71,Seed,Seed Stage,Beauty
Ultraviolette Automotive,2018,Bangalore,"automotive, electric vehicle, energy storage",857.14,Series A,Series_Stage,Transportation
Inthree Access,2018,Chennai,"consulting, retail, social",57142.86,Series A,Series_Stage,Social
BUGWORKS Research India,2018,Bangalore,"biotechnology, life science, pharmaceutical, product research",128571.43,Series A,Series_Stage,Technology
Guardian.in,2018,Mumbai,health care,0.0,Seed,Seed Stage,Transportation
PrestLoans,2018,New Delhi,"credit, financial services, fintech, personal finance",1428.57,Seed,Seed Stage,Technology
Wimoxez,2018,Hyderabad,internet,285.71,Seed,Seed Stage,Technology
India Accelerator,2018,Gurgaon,"communities, coworking, incubators",0.0,Angel,Later Stage,Others
HappyEMI,2018,Bangalore,"consumer, financial services, fintech",14285.71,Seed,Seed Stage,Technology
Wishup,2018,Azadpur,"consumer applications, information services, location based services, virtual assistant",0.0,Seed,Seed Stage,Technology
Hansel.io,2018,Bangalore,"mobile, mobile apps, personalization, test and measurement, web apps",57142.86,Series A,Series_Stage,Technology
Propelld,2018,Bengaluru,"education, financial services, fintech",3571.43,Seed,Seed Stage,Technology
PivotRoots,2018,Mumbai,"advertising, consulting, digital marketing",0.0,Series A,Series_Stage,Marketing
ZiffyHomes,2018,New Delhi,"marketplace, real estate, rental property",1714.29,Seed,Seed Stage,Real estate
Carmesi,2018,Gurgaon,health care,485714.29,Seed,Seed Stage,Transportation
OckyPocky,2018,Haryana,"e-learning, internet, video games",0.0,Angel,Later Stage,Technology
Racetrack,2018,Bangalore,"artificial intelligence, cloud computing, video",4885714.29,Seed,Seed Stage,Technology
WHR,2018,Pune,"health care, information technology",143145.0,Seed,Seed Stage,Technology
Asteria Aerospace,2018,Bangalore,aerospace,0.0,Seed,Seed Stage,Others
FabAlley,2018,Noida,"e-commerce, fashion, lifestyle",8571428.57,Series B,Series_Stage,Beauty
Tranzmeo,2018,Cochin,"artificial intelligence, business intelligence, industrial automation, machine learning",0.0,Pre Seed,Pre_Seed Stage,Transportation
SBI Life,2018,Mumbai,insurance,742000000.0,Private Equity,Others,Others
Studds Accessories,2018,Faridabad,e-commerce,14285714.29,Private Equity,Others,Others
Design Cafe,2018,Bengaluru,"home decor, home improvement, home renovation, home services, interior design, smart home",28571428.57,Series B,Series_Stage,Real estate
NoPaperForms Solutions Pvt. Ltd.,2018,New Delhi,"edtech, education, information services, saas",3980000.0,Series B,Series_Stage,Technology
Rays Power Infra,2018,Jaipur,"energy, solar",28571428.57,Venture   Series Unknown,Others,Others
AuthMetrik,2018,Gurgaon,"b2b, biometrics, cyber security, fraud detection, saas, security",10000.0,Grant,Later Stage,B2b
Khidki,2018,Bangalore,"artificial intelligence, social",0.0,Seed,Seed Stage,Social
LetsTransport,2018,Bangalore,"logistics, transportation, travel",14285714.29,Series B,Series_Stage,Transportation
Next Digital Solutions,2018,Kota,"digital marketing, sem, seo, web development",1428.57,Angel,Later Stage,Marketing
Portea Medical,2018,Bangalore,"health care, hospital, medical",3571428.57,Debt Financing,Debt Stage,Transportation
Aavas Financiers,2018,Jaipur,"finance, financial services",28571428.57,Post Ipo Debt,Others,Finance
Swiggy,2018,Bangalore,"food delivery, food processing, internet",1000000000.0,Series H,Series_Stage,Technology
Milkbasket,2018,Haryana,"e-commerce, food and beverage, internet",7000000.0,Series A,Series_Stage,Technology
Nutrisattva (Proliva),2018,Anand,"fitness, food and beverage, health care, nutrition",0.0,Angel,Later Stage,Transportation
Toppr,2018,Mumbai,"edtech, education, knowledge management",35000000.0,Series C,Series_Stage,Technology
Jagaran Microfin,2018,Kolkata,,7857142.86,Debt Financing,Debt Stage,Others
Vivriti Capital,2018,Chennai,financial services,28500000.0,Venture   Series Unknown,Others,Finance
Be U Salons,2018,New Delhi,"apps, beauty, consumer, retail",428571.43,Seed,Seed Stage,Technology
Impact Guru,2018,Mumbai,"creative agency, crowdfunding, edtech, health care, internet, medical, non profit, personal health",2000000.0,Series A,Series_Stage,Technology
MobiKwik,2018,Gurgaon,"consumer lending, financial services, fintech, insurance, lending, mobile payments, payments, wealth management",3428571.43,Series E,Series_Stage,Technology
Stones2Milestones,2018,Gurgaon,"e-learning, education, higher education",0.0,Seed,Seed Stage,Education
Generico,2018,Mumbai,"health care, medical, pharmaceutical",0.0,Series A,Series_Stage,Transportation
Adiuvo Diagnostics,2018,Chennai,health diagnostics,0.0,Seed,Seed Stage,Health
DataTrained,2018,Bangalore,"edtech, education",1714285.71,Seed,Seed Stage,Technology
OneAssist,2018,Mumbai,"financial services, saas, security",2400000.0,Debt Financing,Debt Stage,Finance
Satin Creditcare Network Limited (SCNL),2018,New Delhi,"banking, finance, financial services, non profit",30000000.0,Post Ipo Debt,Others,Finance
APAC Financial Services,2018,Mumbai,"finance, financial services",35714285.71,Private Equity,Others,Finance
Moglix,2018,Noida,"b2b, e-commerce, mobile",23000000.0,Series C,Series_Stage,B2b
SEDEMAC Mechatronics,2018,Mumbai,"automotive, electric vehicle, renewable energy",0.0,Venture   Series Unknown,Others,Transportation
MadGuy Labs,2018,Hyderabad,e-learning,150000.0,Venture   Series Unknown,Others,Others
Dee Dee Labs,2018,Pune,"embedded systems, health care, medical, product research",0.0,Seed,Seed Stage,Transportation
FLEECA,2018,Jaipur,,0.0,Seed,Seed Stage,Others
Shop101,2018,Mumbai,"apps, e-commerce, internet",11000000.0,Series B,Series_Stage,Technology
FeedMyPockets,2018,Bangalore City,"advertising, human resources, marketing",628571.43,Seed,Seed Stage,Finance
Housejoy,2018,Bengaluru,"beauty, fitness, home services, internet",3240000.0,Series B,Series_Stage,Technology
Ambee,2018,Bangalore,"health care, medical device, public safety",0.0,Angel,Later Stage,Transportation
FoodBuddy,2018,Belgaum,"food delivery, online portals, restaurants",857142.86,Seed,Seed Stage,Restaurant
Ninjacart,2018,Bengaluru,"agtech, b2b, supply chain management",35714285.71,Series B,Series_Stage,Technology
Olly Smart Credit Card,2018,New Delhi,"credit cards, finance, mobile apps, mobile payments, payments",0.0,Seed,Seed Stage,Technology
Zestl,2018,Pune,software,0.0,Seed,Seed Stage,Saas
BYJU’S,2018,Bangalore,"edtech, education, higher education, secondary education",540000000.0,Private Equity,Others,Technology
Wakefit,2018,Bangalore,"manufacturing, retail",9285714.29,Venture   Series Unknown,Others,Ai
Hero Electric,2018,New Delhi,manufacturing,22857142.86,Venture   Series Unknown,Others,Others
Pentation Analytics,2018,Mumbai,"information services, information technology, insurtech",0.0,Seed,Seed Stage,Technology
PerkFinance,2018,Bangalore,"consumer lending, fintech",900000.0,Seed,Seed Stage,Technology
Roposo,2018,Gurgaon,"internet, social network, tv",10000000.0,Series C,Series_Stage,Technology
Plum Goodness,2018,Thane,"beauty, health care",0.0,Series A,Series_Stage,Transportation
Drstore,2018,Mumbai,hospital,0.0,Seed,Seed Stage,Others
Wow Venue,2018,Mumbai,events,1500000.0,Venture   Series Unknown,Others,Others
Chizel,2018,Pune,"3d printing, manufacturing, product design",0.0,Seed,Seed Stage,Real estate
OTO Capital,2018,Mumbai,automotive,714285.71,Seed,Seed Stage,Transportation
Boodmo,2018,Gurgaon,"automotive, retail",1000000.0,Seed,Seed Stage,Transportation
Khabri,2018,Haryana,"apps, audio",0.0,Seed,Seed Stage,Technology
MyNewCar.in,2018,Gurgaon,"automotive, e-commerce",1000000.0,Venture   Series Unknown,Others,Transportation
HalaPlay Technologies,2018,Bangalore,"digital entertainment, fantasy sports, sports",5000000.0,Series A,Series_Stage,Social
PlanetSpark,2018,Gurgaon,"e-learning, edtech, education",228571.43,Seed,Seed Stage,Technology
WheelsEMI,2018,Pune,,14000000.0,Series B,Series_Stage,Others
Forum for Innovation Incubation Research and Entrepreneurship,2018,Margão,"funding platform, incubators, non profit",1464285.71,Grant,Later Stage,Others
OYO,2018,Gurgaon,"hospitality, hotel, leisure, travel",100000000.0,Series E,Series_Stage,Others
Quikr,2018,Bangalore,"classifieds, internet, marketplace, rental property",7857142.86,Debt Financing,Debt Stage,Technology
Tabono,2018,Gurgaon,sports,0.0,Seed,Seed Stage,Sports
LearnApp,2018,Noida,"banking, e-learning, trading platform",285714.29,Seed,Seed Stage,Finance
Shopkirana,2018,Indore,"e-commerce, mobile, retail",2000000.0,Venture   Series Unknown,Others,Ai
Fric Bergen,2018,Alwar,,0.0,Venture   Series Unknown,Others,Others
Articbot,2018,Kannur,"artificial intelligence, information technology",17142.86,Grant,Later Stage,Technology
BuildSupply,2018,Gurgaon,"enterprise resource planning (erp), information services, information technology, real estate",3571428.57,Series A,Series_Stage,Technology
Fusion Microfinance,2018,New Delhi,"banking, finance, financial services",74285714.29,Series E,Series_Stage,Finance
Any time Doctor,2018,Chennai,software,0.0,Angel,Later Stage,Saas
Go Payments,2018,Mumbai,"information services, information technology",0.0,Corporate Round,Later Stage,Technology
Guiddoo World,2018,Mumbai,"audio, mobile, tourism, travel",800000.0,Seed,Seed Stage,Others
ION Energy,2018,Mumbai,"energy, energy storage, infrastructure",1041000.0,Venture   Series Unknown,Others,Others
UnoTag,2018,Bangalore,artificial intelligence,100000.0,Pre Seed,Pre_Seed Stage,Ai
CivilCops,2018,Gurgaon,"government, information technology, software",100000.0,Pre Seed,Pre_Seed Stage,Technology
Rockmetric,2018,Mumbai,information technology,0.0,Grant,Later Stage,Technology
Classworks India,2018,Chennai,"education, information technology, internet, mobile, software",1428.57,Unknown,Others,Technology
Snapmint,2018,Mumbai,"consumer lending, financial services, lending, personal finance",0.0,Seed,Seed Stage,Finance
artbandhu,2018,Bangalore,"digital media, internet, media and entertainment, online portals, social media",15000.0,Pre Seed,Pre_Seed Stage,Technology
Survaider,2018,Bengaluru,"business intelligence, customer service, market research, saas",7142.86,Seed,Seed Stage,Saas
Credy,2018,Bengaluru,"credit, financial services, fintech, lending",20000.0,Seed,Seed Stage,Technology
iChamp,2018,Gurgaon,e-learning,71428.57,Seed,Seed Stage,Others
Qandle,2018,Gurgaon,software,17142.86,Seed,Seed Stage,Saas
Avishkaar Box,2018,Delhi,"children, education, parenting",714285.71,Seed,Seed Stage,Education
Gegadyne Energy,2018,Mumbai,"automotive, battery, energy, energy storage",0.0,Angel,Later Stage,Transportation
HyperXchange,2018,Pune,"e-commerce, mobile, sharing economy",14285.71,Series A,Series_Stage,Others
Deftouch,2018,Bangalore,,0.0,Seed,Seed Stage,Others
Doodhwala,2018,Bengaluru,"food delivery, organic, organic food",31428.57,Seed,Seed Stage,Restaurant
DronaHQ,2018,Mumbai,mobile,7142.86,Angel,Later Stage,Others
FastFox,2018,Gurgaon,rental,1428571.43,Series A,Series_Stage,Others
BuyForexOnline,2018,Bangalore,travel,28571.43,Unknown,Others,Others
Colive.in,2018,Bangalore,consumer,25714.29,Seed,Seed Stage,Others
Agricxlab Private Limited,2018,Thane,"b2b, farming, marketplace",7142.86,Seed,Seed Stage,B2b
Corefactors,2018,Bangalore,,0.0,Seed,Seed Stage,Others
Fincash.com,2018,Mumbai,wealth management,2142.86,Seed,Seed Stage,Management
Pandorum Technologies,2018,Bengaluru,biotechnology,51428.57,Series A,Series_Stage,Technology
Shirsa Labs,2018,Mumbai,"education, gaming, training",7142.86,Seed,Seed Stage,Education
PetSutra,2018,Gurgaon,veterinary,135714.29,Seed,Seed Stage,Others
Awaaz De,2018,Ahmedabad,"internet, mobile, social entrepreneurship, telecommunications, wireless",0.0,Angel,Later Stage,Technology
PinkBlue,2018,Bangalore,"health care, hospital, supply chain management",4285.71,Seed,Seed Stage,Transportation
Eduvanz,2018,Mumbai,"finance, financial services",7142.86,Angel,Later Stage,Finance
Rupeek,2018,Bangalore,"financial services, lending",97571.43,Series A,Series_Stage,Finance
Backpacker Panda Holidays Private Limited,2018,Pune,"tourism, travel",20000.0,Series A,Series_Stage,Others
Shape (School Health and Physical Education),2018,Pune,education,2857.14,Seed,Seed Stage,Education
Placio,2018,Noida,"hospitality, real estate",28571.43,Seed,Seed Stage,Real estate
Aviom India Housing Finance,2018,New Delhi,finance,2142857.14,Series A,Series_Stage,Finance
GenRobotic,2018,Trivandrum,market research,0.0,Seed,Seed Stage,Research
HeyHolidays,2018,Bangalore,"tourism, travel",14285.71,Seed,Seed Stage,Others
Pratilipi,2018,Bengaluru,"digital media, ebooks, publishing, reading apps",61428.57,Series A,Series_Stage,Technology
SectorQube,2018,Ernakulam,"consumer electronics, embedded systems, hardware, smart building, software",0.0,Seed,Seed Stage,Saas
Food Memories,2018,Ahmedabad,"food and beverage, food processing",0.0,Seed,Seed Stage,Restaurant
ZAMROO,2018,India,"internet, marketplace, shopping",0.0,Seed,Seed Stage,Technology
Silversparro Technologies Pvt. Ltd,2018,Gurgaon,"analytics, computer vision, enterprise software, machine learning, natural language processing, speech recognition",4285.71,Seed,Seed Stage,Saas
Creator’s Gurukul,2018,Gurgaon,facilities support services,0.0,Angel,Later Stage,Others
Emflux Motors,2018,Bengaluru,"automotive, electric vehicle, energy",5212.09,Seed,Seed Stage,Transportation
Tricog Health Services Pvt Ltd,2018,Bangalore,"health care, health diagnostics, predictive analytics",57142.86,Series A,Series_Stage,Transportation
Scapic,2018,Bangalore,"cloud computing, computer, saas, software",7142.86,Seed,Seed Stage,Saas
6Degree,2018,Mumbai,"fashion, lifestyle, retail",5714.29,Seed,Seed Stage,Beauty
Chrysalis (EZ Vidya),2018,Chennai,education,0.0,Seed,Seed Stage,Education
Ekincare,2018,Hyderabad,medical,21428.57,Series A,Series_Stage,Others
Streo,2018,Gurgaon,music streaming,0.0,Seed,Seed Stage,Others
Groww,2018,Kormangala,"finance, impact investing, internet",1714.29,Seed,Seed Stage,Technology
Cell Propulsion,2018,Bangalore,,100000.0,Seed,Seed Stage,Others
Chezuba,2018,Hyderabad,"internet, social entrepreneurship",20000.0,Angel,Later Stage,Technology
Ontrack Technologies Pvt. Ltd,2018,Bangalore,retail,0.0,Seed,Seed Stage,Ai
Wealthtrust,2018,Mumbai,"finance, impact investing, mobile apps",7142.86,Seed,Seed Stage,Technology
Faclon Labs,2018,Mumbai,"cloud computing, computer, software",0.0,Seed,Seed Stage,Saas
Awign Enterprises,2018,Bangalore,"business development, market research, outsourcing",714285.71,Seed,Seed Stage,Finance
CollPoll,2018,Bangalore,education,0.0,Seed,Seed Stage,Education
Zyla Health,2018,New Delhi,"health care, hospitality",0.0,Seed,Seed Stage,Transportation
Hubhopper,2018,Delhi,"internet, social news, sports",7142.86,Series A,Series_Stage,Technology
Rubix108 Technologies,2018,Pune,information technology,14285.71,Seed,Seed Stage,Technology
Workflexi,2018,Bangalore,human resources,142857.14,Seed,Seed Stage,Finance
Streak,2018,Bangalore,financial services,321428.57,Seed,Seed Stage,Finance
Kuants,2018,Gurgaon,financial services,71428.57,Seed,Seed Stage,Finance
NiYO Solutions,2018,Bangalore,"finance, financial services, fintech",188571.43,Series A,Series_Stage,Technology
Hippo Video,2018,Chennai,"customer service, software, video, video streaming",0.0,Seed,Seed Stage,Technology
Satvacart,2018,Gurgaon,"e-commerce, food processing",0.0,Seed,Seed Stage,Restaurant
Daaki,2018,Bangalore,health care,0.0,Angel,Later Stage,Transportation
Simulanis,2018,New Delhi,training,7142.86,Seed,Seed Stage,Ai
MY CHIRAAG CAB,2018,Jaipur,travel,14285.71,Seed,Seed Stage,Others
WOTU,2018,Bangalore,food and beverage,0.0,Seed,Seed Stage,Restaurant
Flathalt,2018,Gurgaon,,714.29,Angel,Later Stage,Others
True Elements,2018,Pune,"dietary supplements, food and beverage, health care, organic food, snack food",714285.71,Seed,Seed Stage,Transportation
Trendlyne Technologies,2018,Bangalore,financial services,2857.14,Seed,Seed Stage,Finance
Planys Technologies,2018,Chennai,"manufacturing, oil and gas, robotics",2002857.14,Series A,Series_Stage,Others
HealthPlix,2018,Bangalore,"fitness, health care, wellness",42857.14,Series A,Series_Stage,Transportation
dishq,2018,Bengaluru,,5714.29,Seed,Seed Stage,Others
Entropik Technology,2018,Bengaluru,"artificial intelligence, computer, machine learning",15714.29,Seed,Seed Stage,Ai
myHQ,2018,Delhi,"collaboration, communities, coworking, sharing economy",7142.86,Series A,Series_Stage,Others
Trell,2018,Bangalore City,,17857.14,Seed,Seed Stage,Others
Kidovators (by GyanLab),2018,Bangalore,"big data, edtech, machine learning",2571.43,Seed,Seed Stage,Technology
Log 9 Materials,2018,Uttar Pradesh,nanotechnology,428571.43,Seed,Seed Stage,Technology
VTION,2018,Gurgaon,"analytics, audio, digital media, innovation management, internet radio, media and entertainment",274285.71,Seed,Seed Stage,Technology
HousingMan.com,2018,Bengaluru,,1471428.57,Seed,Seed Stage,Others
Steradian Semiconductors,2018,Bangalore,,0.0,Seed,Seed Stage,Others
RupeeCircle,2018,Mumbai,"financial services, lending, peer to peer",571428.57,Seed,Seed Stage,Finance
Wooden Street,2018,Jaipur,"e-commerce, furniture, home decor, interior design, internet",14285.71,Series A,Series_Stage,Technology
The Ken,2018,Bengaluru,digital media,21428.57,Series A,Series_Stage,Others
SaffronStays,2018,Mumbai,,28571.43,Seed,Seed Stage,Others
Vebbler,2018,Bengaluru,"file sharing, personalization, social media",0.0,Seed,Seed Stage,Social
Foyr,2018,Pune,"home decor, interior design",60000.0,Series A,Series_Stage,Real estate
MEngage,2018,Jaipur,"health care, medical device, mobile apps",2500.0,Seed,Seed Stage,Technology
Inner Being Wellness,2018,Hyderabad,,500000.0,Angel,Later Stage,Others
Kobster,2018,Chennai,"e-commerce, facilities support services, procurement, supply chain management",0.0,Seed,Seed Stage,Management
Wishberry,2018,Mumbai,"crowdfunding, finance, financial services",1428571.43,Series A,Series_Stage,Finance
McXtra,2018,Andheri,"finance, financial services, insurance",18571.43,Seed,Seed Stage,Finance
Magic Crate,2018,Bangalore,"children, education, online portals",0.0,Seed,Seed Stage,Education
SmartVizX,2018,Noida,"software, virtual reality",20714.29,Seed,Seed Stage,Real estate
MySEODoc,2018,Delhi,,0.0,Seed,Seed Stage,Others
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,2018,Pune,,2857.14,Seed,Seed Stage,Others
Scale Labs,2018,Delhi,,14285.71,Seed,Seed Stage,Others
HungerBox,2018,Bengaluru,"b2b, food and beverage, food delivery",64285.71,Series A,Series_Stage,Restaurant
Biryani By Kilo,2018,Noida,"catering, food and beverage, food delivery, food processing",14285.71,Seed,Seed Stage,Restaurant
Wholesome Habits (EAT Anytime),2018,Mumbai,"food and beverage, snack food",7142.86,Seed,Seed Stage,Restaurant
GoBumpr,2018,Mylapore,"automotive, e-commerce, mobile",8571.43,Seed,Seed Stage,Transportation
Fixpocket,2018,Ahmedabad,"computer, digital marketing, facilities support services, graphic design, internet, mobile apps, social media marketing, web development",3571.43,Seed,Seed Stage,Technology
edureka!,2018,Bangalore,"android, big data, blockchain, cloud computing, edtech, education, information technology, ios, training, web development",28571.43,Series A,Series_Stage,Technology
Hashtag Loyalty Private Limited,2018,Mumbai,"analytics, crm, loyalty programs, machine learning, marketing automation, retail technology, saas, small and medium businesses",0.0,Seed,Seed Stage,Technology
Wow Express,2018,Mumbai,"delivery, information technology, mobile apps",64285.71,Series A,Series_Stage,Technology
ZunRoof,2018,Gurgaon,"environmental consulting, renewable energy",237142.86,Angel,Later Stage,Others
Eggoz,2018,Indore,"food and beverage, food processing",171428.57,Angel,Later Stage,Restaurant
Sqrrl Fintech,2018,Gurgaon,"big data, business intelligence, financial services, fintech, personal finance",14285.71,Seed,Seed Stage,Technology
GalaxyCard,2018,Noida,"finance, financial services, fintech",0.0,Seed,Seed Stage,Technology
IndiQube,2018,Bengaluru,"commercial real estate, coworking, office administration, real estate",214285.71,Series A,Series_Stage,Real estate
EGK Foods,2018,Mumbai,"food and beverage, food processing, organic food, snack food",285714.29,Seed,Seed Stage,Restaurant
NirogStreet,2018,Gurgaon,"apps, health care, internet, mobile apps, personal health",4285.71,Seed,Seed Stage,Technology
Pixr8,2018,Ghaziabad,"digital media, incubators, social entrepreneurship",714.29,Seed,Seed Stage,Social
Nivesh.com,2018,Noida,"finance, financial services, marketing",428571.43,Seed,Seed Stage,Finance
Theranosis Life Sciences,2018,Hyderabad,"biotechnology, health care, life science, medical device",0.0,Seed,Seed Stage,Technology
Poshmiles Online Solutions Private Limited,2018,Bengaluru,travel,0.0,Seed,Seed Stage,Others
Reculta,2018,Noida,"education, human resources",0.0,Seed,Seed Stage,Finance
Orbo.ai,2018,Mumbai,internet,0.0,Seed,Seed Stage,Technology
Inntot Technologies,2018,Kochi,consumer electronics,0.0,Seed,Seed Stage,Others
Zoctr Health,2018,Powai,"apps, health care, hospital, mobile apps",0.0,Seed,Seed Stage,Technology
Hey Deedee,2018,Mumbai,"delivery service, logistics, service industry",471428.57,Seed,Seed Stage,Transportation
DigiConnectt Technologys,2018,Bengaluru,"information services, information technology",1785.71,Seed,Seed Stage,Technology
Locus.sh,2018,Bangalore,"big data, data visualization, logistics, software",57142.86,Series A,Series_Stage,Technology
Sports Flashes Pvt. Ltd,2018,New Delhi,"basketball, cricket, cycling, esports, fitness, golf, health care, hockey, sports, swimming, table tennis, volley ball",14285.71,Seed,Seed Stage,Transportation
