Company_Brand,Funding_Year,HeadQuarter,Sector,Amount($),Stage,Funding,Category
Bambrew,2021,Bangalore,packaging solution startup,4710672.330723327,Pre Seed,Pre_Seed Stage,Solutions
Omnify,2021,San Francisco Bay Area,saas startup,4710672.330723327,Pre Series A,Pre_Series Stage,Saas
Fanball XI,2021,New Delhi,gaming,14285.71,Seed,Seed Stage,Others
Treebo Hotels,2021,Bangalore,hospitality,85714.29,Unknown,Others,Others
GPS Renewables,2021,Bangalore,cleantech,42857.14,Series A,Series_Stage,Technology
Public,2021,New Delhi,social media,428571.43,Unknown,Others,Social
Legal Salah,2021,Kolkata,legaltech,14285.71,Seed,Seed Stage,Technology
FanPlay,2021,New Delhi,gaming,4710672.330723327,Seed,Seed Stage,Others
ECOSTP,2021,Bangalore,sanitation solutions,271428.57,Unknown,Others,Solutions
Coralogix,2021,San Francisco,saas startup,357142.86,Series B,Series_Stage,Saas
Equiwatt,2021,Newcastle Upon Tyne,tech company,4285.71,Unknown,Others,Technology
Reliance Retail Ventures,2021,Mumbai,e-commerce,11428571.43,Unknown,Others,Others
Zhangmen,2021,Shanghai,edtech,5714285.71,Unknown,Others,Technology
AgroWave,2021,Gurugram,agritech,7142.86,Unknown,Others,Technology
Sapio Analytics,2021,Mumbai,tech company,2142.86,Unknown,Others,Technology
Taimei,2021,Jiaxing,healthcare,2514285.71,Unknown,Others,Transportation
Avanse Financial Services,2021,Mumbai,fintech,214285.71,Unknown,Others,Technology
Industry Buying,2021,New Delhi,e-commerce,214285.71,Unknown,Others,Others
Hopscotch,2021,Mumbai,e-commerce,357142.86,Unknown,Others,Others
Pristyn Care,2021,Gurugram,healthcare,157142.86,Unknown,Others,Transportation
WoodenStreet,2021,Rajastan,home design,14285.71,Unknown,Others,Real estate
ACKO,2021,Mumbai,insuretech,857142.86,Unknown,Others,Technology
Farmers Fresh Zone,2021,Kochi,agritech,6714.29,Unknown,Others,Technology
Invento,2021,Bangalore,ai startup,4710672.330723327,Unknown,Others,Ai
Infurnia,2021,Bangalore,tech startup,3428.57,Unknown,Others,Technology
AnalytIQSports's SuperCric,2021,Bangalore,entertainment,4710672.330723327,Unknown,Others,Social
Snowflake,2021,California,tech company,42857142.86,Unknown,Others,Technology
